ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
440142,43020933,4,4
440142,43021060,4,6
440142,43021733,5,5
440142,43021828,4,4
440142,43022053,5,5
440142,44782442,5,6
440142,44803454,6,6
440142,44804850,4,5
440142,45768480,6,7
440508,4066746,6,9
440508,4100130,1,1
440508,4100138,4,7
440508,4100254,7,8
440508,4100866,6,7
440508,4100869,6,7
440508,4101033,6,8
440508,4102845,5,6
440508,4102853,6,7
440508,4219995,9,10
440508,4245618,6,7
440508,36716113,5,7
440508,40486037,7,8
440508,40486063,3,3
440508,40487587,6,7
440508,40487981,8,9
440508,40488071,7,8
440508,40490482,1,1
440508,40490945,8,9
440508,40491008,5,6
440508,40493497,8,9
441406,37395937,4,4
441406,43020892,5,5
441589,43021297,3,3
441840,313217,7,11
441840,4027246,7,11
441840,4049297,4,11
441840,4064452,4,8
441840,4065285,3,8
441840,4065288,4,4
441840,4079145,6,11
441840,4088984,9,13
441840,4088987,8,12
441840,4089461,9,13
441840,4091903,8,12
441840,4100131,3,12
441840,4100133,3,11
441840,4100134,8,12
441840,4100136,6,10
441840,4100139,8,12
441840,4100867,8,12
441840,4100870,8,12
441840,4101026,6,10
441840,4101029,7,11
441840,4102252,7,11
441840,4102845,7,11
441840,4102846,7,11
441840,4102853,3,12
441840,4102856,6,10
441840,4103195,5,11
441840,4108352,6,11
441840,4111551,4,8
441840,4121470,4,13
441840,4124696,7,12
441840,4124704,7,11
441840,4137382,5,10
441840,4141360,5,10
441840,4146580,9,13
441840,4152594,7,11
441840,4154290,5,10
441840,4171269,8,12
441840,4190306,7,12
441840,4199501,8,12
441840,4218070,5,11
441840,4219995,7,12
441840,4229749,6,10
441840,4232697,8,12
441840,4236884,8,12
441840,4273462,6,11
441840,4289309,7,11
441840,4300288,5,9
441840,4302802,8,12
441840,4305516,4,8
441840,4316879,6,10
441840,4317287,7,11
441840,4321750,5,5
441840,36712986,9,13
441840,36716113,4,12
441840,37110775,5,11
441840,37395937,3,11
441840,40486560,9,13
441840,40486703,8,12
441840,40487037,7,11
441840,40487103,3,11
441840,40487418,7,11
441840,40487587,8,12
441840,40488072,9,13
441840,40488396,7,11
441840,40488891,8,12
441840,40489452,4,8
441840,40489802,7,11
441840,40490482,3,11
441840,40491009,7,11
441840,40491962,4,8
441840,40493209,7,11
441840,42689664,4,8
321588,43020560,4,4
321588,43020562,4,4
321588,43020563,4,4
321588,43020933,3,3
321588,43021060,3,5
321588,43021733,4,4
321588,43021828,3,3
321588,43022053,4,4
321588,44782442,4,5
321588,44803454,5,5
321588,44804850,3,4
321588,45768480,5,6
373503,4139517,1,1
376208,4049297,3,4
376208,4139517,4,4
376208,40486063,6,6
376208,40491931,5,5
381591,4139517,2,2
432250,43021060,4,5
433128,43020889,4,4
433128,43021297,4,4
433208,4081040,3,3
433208,40491931,2,2
433208,43020888,1,1
433595,36716113,4,4
434467,434467,0,0
434467,40487103,1,1
434467,44803452,1,1
435561,438172,1,1
436670,4216321,4,4
438112,4124689,6,8
438168,4273462,1,1
438168,4317287,2,2
438172,438172,0,0
439045,4229749,2,2
439045,43021297,4,5
439388,44809427,2,2
439394,36716113,2,2
440142,434467,5,5
440142,438172,5,5
440142,4028322,5,7
440142,4049297,4,4
440142,4088352,5,7
440142,4088987,5,5
440142,4089461,6,6
440142,4091903,5,5
440142,4100131,5,5
440142,4100132,5,5
440142,4100134,5,6
440142,4100137,4,4
440142,4100139,5,5
440142,4100254,6,6
440142,4100870,5,5
440142,4101029,4,5
440142,4101032,4,6
440142,4101485,4,6
440142,4102846,4,4
440142,4102849,4,4
440142,4102852,5,5
440142,4108350,3,3
440142,4108352,4,4
440142,4108832,5,6
440142,4109365,5,5
440142,4115173,4,4
440142,4119601,5,6
440142,4121479,6,6
440142,4124689,5,5
440142,4124697,6,6
440142,4137382,3,6
440142,4141360,3,6
440142,4146580,6,6
440142,4154290,3,6
440142,4171269,5,5
440142,4171887,5,5
440142,4221281,3,3
440142,4245618,5,6
440142,4289309,4,4
440142,4302802,5,5
440142,4303256,3,6
440142,4316879,3,5
440142,4317287,4,5
440142,36712986,6,6
440142,36714994,6,6
440142,36715042,3,7
440142,37395821,5,6
440142,37395937,4,6
440142,40486063,6,6
440142,40487037,4,4
440142,40487981,7,7
440142,40488071,6,6
440142,40488396,4,6
440142,40488891,5,5
440142,40489802,4,5
440142,40491008,4,4
440142,42872924,5,7
440142,43020582,6,6
440142,43020889,3,7
440142,43020892,4,6
440142,43021062,4,5
440142,43021297,3,7
440142,43021480,4,4
440142,43021997,4,4
440142,43022066,4,4
440142,44803309,7,7
440142,44803452,6,6
440142,44803453,6,6
440142,44803455,6,6
440508,4027246,5,6
440508,4049297,5,6
440508,4100131,1,1
440508,4100133,1,1
440508,4100134,6,7
440508,4100139,6,7
440508,4100867,6,7
440508,4100870,6,7
440508,4101032,6,7
440508,4101485,7,8
440508,4102846,5,6
440508,4236884,6,7
440508,37110775,7,8
440508,40486560,7,8
440508,40487037,5,6
440508,40487103,1,1
440508,40488072,7,8
440508,40488396,7,8
440508,40493209,5,6
440508,44803309,8,9
440508,44803454,7,8
440508,44803455,7,8
441406,43021733,6,6
441406,43022053,6,6
441589,43021060,2,2
441607,43021062,3,3
441840,314665,8,12
441840,434467,8,12
441840,438172,5,12
441840,4021776,4,10
441840,4028322,8,12
441840,4064869,3,8
441840,4064872,5,9
441840,4065289,3,8
441840,4066746,8,12
441840,4068155,7,11
441840,4081040,7,11
441840,4088352,8,12
441840,4088504,8,12
441840,4088986,6,10
441840,4089460,9,13
441840,4089488,4,4
441840,4098133,5,10
441840,4100130,3,12
441840,4100132,7,12
441840,4100135,7,11
441840,4100137,7,11
441840,4100138,6,12
441840,4100254,9,13
441840,4100866,8,12
441840,4100869,8,12
441840,4101032,7,11
441840,4101033,6,10
441840,4101485,7,11
441840,4102849,7,11
441840,4102852,7,12
441840,4108350,6,10
441840,4108830,7,12
441840,4108832,8,12
441840,4109365,8,12
441840,4115173,7,11
441840,4117112,8,12
441840,4119601,8,12
441840,4119602,8,12
441840,4120084,6,10
441840,4121479,9,13
441840,4124689,6,12
441840,4124697,9,13
441840,4139517,5,7
441840,4144613,4,9
441840,4171887,8,12
441840,4172430,5,11
441840,4176112,9,13
441840,4187518,6,6
441840,4216321,6,11
441840,4221281,6,10
441840,4232691,8,12
441840,4236004,7,11
441840,4245618,8,12
441840,4274333,5,11
441840,4277903,7,11
441840,4303256,6,10
441840,4337811,5,9
441840,36713962,5,5
441840,36714994,9,13
441840,36715042,5,13
441840,36716866,8,12
441840,36717692,6,6
441840,37017190,4,4
441840,37017191,5,5
441840,37019050,6,6
441840,37394031,6,6
441840,37395821,3,12
441840,40486037,7,11
441840,40486063,5,13
441840,40487549,4,8
441840,40487981,10,14
441840,43020560,8,12
441840,43020563,8,12
441840,43020582,9,13
441840,43020889,6,10
441840,43020892,5,11
441840,43021069,4,8
441840,43021297,6,10
441840,43021480,7,11
441840,43021733,6,12
441840,43021938,4,5
441840,44803309,10,14
441840,44803452,9,13
441840,44803454,9,13
441840,44803455,9,13
441840,44804850,7,11
441840,44809427,5,5
441840,45768480,9,13
442106,37395937,1,1
442982,4219995,1,1
443783,4098133,3,3
443783,36715042,3,3
443784,4081040,5,5
443784,40486037,3,4
443784,40491931,4,4
443784,43020888,3,3
443883,4108830,5,5
443883,4139517,3,3
443883,4303256,5,5
443916,36715042,3,3
444070,43021733,2,2
444089,36715042,7,7
444202,43021062,5,6
2001434,2001465,1,2
2001434,2001474,1,1
2001434,2001476,1,2
2001434,2001479,1,1
2001434,2001481,1,2
2001465,2001465,0,0
2001467,2001468,1,1
2001467,2001470,1,1
2001467,2001471,1,1
2001467,2001473,1,1
2001469,2001469,0,0
2001474,2001475,1,1
2001474,2001476,1,1
2001474,2001478,1,1
2001476,2001476,0,0
2001479,2001480,1,1
2001479,2001482,1,1
2001528,2001551,1,2
2001545,2001551,1,1
2001571,2001578,1,1
2001992,2001992,0,0
2008355,2008357,1,1
2725194,2725200,1,2
2725194,2725208,1,2
2725194,2822634,1,2
2725194,2827860,1,2
2725194,2852845,1,1
2725194,2866384,1,2
2725194,2887784,1,2
2725198,2725198,0,0
2725199,2725199,0,0
2725206,2725206,0,0
2725620,2725637,1,2
2725620,2828013,1,2
2725620,2848474,1,2
2725620,2879975,1,1
2725636,2725636,0,0
2725637,2725637,0,0
2725737,2725745,1,2
2725737,2725746,1,2
2725737,2725748,1,2
2725737,2725756,1,2
2725737,2725759,1,2
2725737,2815374,1,2
2725737,2828002,1,2
2725737,2879962,1,1
2725745,2725745,0,0
2725746,2725746,0,0
2725749,2725749,0,0
2725983,2725987,1,2
2725983,2725988,1,2
2725983,2822969,1,2
2725983,2848635,1,2
